номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
104;CO_0166;38346;38,346;11180 + 1006 + 2300 + 9850 + 3590 + 2170 + 2890 + 5360 = 38346 мм;ok;"локальная модель, без API; авто: D2 вернул участок, D9 вернул участок; авто: D8 внутри D9; авто: D1 внутри D2, D5 внутри D9, D6 внутри D8, D10 внутри D13, D11 внутри D12, D8 вернул полный участок; ручной визуальный аудит; авто: D7 внутри D9, D8 внутри D9, D5 вернул участок, D10 вернул участок, D11 вернул участок"
105;CO_0166;20500;20,500;150 + 650 + 906 + 1050 + 994 + 9000 + 421 + 750 + 579 + 6000 = 20500 мм;ok;"локальная модель, без API; авто: D13 внутри D14; авто: D6 внутри D9, D9 вернул полный участок, D9 габарит рядом с D6; авто: D9 вернул полный участок, D9 габарит рядом с D6; авто: D9 вернул полный участок, D9 габарит рядом с D6; ручной визуальный аудит; авто: D7 внутри D9, D8 внутри D9, D9 вернул полный участок"
106;CO_0167;22769;22,769;173 + 274 + 1148 + 765 + 3000 + 270 + 620 + 5539 + 10860 + 120 = 22769 мм;ok;"локальная модель, без API; авто: D10 вернул участок; авто: D5 габарит пара; ручной визуальный аудит"
107;CO_0167;23110;23,110;2630 + 2300 + 310 + 9540 + 3600 + 3856 + 150 + 504 + 220 = 23110 мм;ok;"локальная модель, без API; авто: D1 внутри D2; авто: D7 вернул участок; авто: D4 внутри D1, D5 внутри D7, D6 внутри D7, D9 внутри D10, D11 внутри D12, D1 вернул полный участок; ручной визуальный аудит; авто: D1 внутри D2, D4 вернул участок, D11 вернул участок"
108;CO_0167;7387;7,387;120 + 550 + 1309 + 613 + 751 + 273 + 195 + 181 + 134 + 195 + 273 + 751 + 613 + 1309 + 120 = 7387 мм;ok;"локальная модель, без API; авто: D16 штурвал, D2 вернул длину; авто: D5 внутри D3, D6 внутри D4, D11 внутри D15; ручной визуальный аудит; авто: D5 вернул участок, D6 вернул участок, D11 вернул участок"
109;CO_0167;21170;21,170;430 + 1246 + 1450 + 994 + 9500 + 421 + 750 + 579 + 5800 = 21170 мм;ok;"локальная модель, без API; авто: D12 внутри D13; авто: D4 внутри D2, D5 внутри D6, D9 внутри D11; ручной визуальный аудит; авто: D8 полный участок, D6 внутри D8, D7 внутри D8, D4 вернул участок, D9 вернул участок"
110;CW_1004;25870;25,870;821 + 1750 + 700 + 300 + 140 + 307 + 300 + 50 + 20019 + 343 + 621 + 19 + 500 = 25870 мм;ok;"локальная модель, без API; авто: D10 вернул участок, D8 вернул длину, D9 вернул длину, D13 вернул длину; авто: D8 габарит пара; ручной визуальный аудит"
111;CWRI_1004;21590;21,590;1201 + 1073 + 345 + 140 + 5714 + 6672 + 1250 + 524 + 2935 + 336 + 1400 = 21590 мм;ok;"локальная модель, без API; авто: D6 вернул участок, D1 вернул длину; ручной визуальный аудит"
112;CWRI_1004;23974;23,974;300 + 140 + 50 + 20020 + 650 + 694 + 327 + 140 + 428 + 706 + 19 + 500 = 23974 мм;ok;"локальная модель, без API; авто: D5 вернул участок, D12 вернул длину; авто: D2 габарит пара; ручной визуальный аудит; авто: D2 габарит пара"
113;OD_1006;9226;9,226;120 + 85 + 85 + 4006 + 4930 = 9226 мм;ok;"локальная модель, без API; ручной визуальный аудит"
114;P21_1017;6968;6,968;162 + 650 + 750 + 900 + 373 + 185 + 188 + 194 + 344 + 80 + 38 + 182 + 512 + 206 + 436 + 972 + 185 + 373 + 200 + 38 = 6968 мм;ok;"локальная модель, без API; авто: D1 вернул длину; авто: D14 габарит пара; ручной визуальный аудит"
115;P21_1017;0;0,000;нет включённых размеров;error;"локальная модель, без API; ручной визуальный аудит"
116;P21_1017;27351;27,351;1022 + 2000 + 1350 + 251 + 566 + 22162 = 27351 мм;ok;"локальная модель, без API; авто: D5 внутри D1; ручной визуальный аудит; авто: D7 внутри D14, D8 внутри D14, D9 внутри D14, D10 внутри D14, D11 внутри D14, D12 внутри D14, D13 внутри D14, D5 вернул участок, D14 вернул полный участок"
117;P21_1017;11888;11,888;38 + 150 + 700 + 500 + 250 + 3000 + 7250 = 11888 мм;ok;"локальная модель, без API; авто: D7 внутри D9; авто: D8 внутри D9; ручной визуальный аудит"
118;SW_1001;14720;14,720;6600 + 3400 + 400 + 800 + 3400 + 120 = 14720 мм;ok;"локальная модель, без API; авто: D7 внутри D8; ручной визуальный аудит; авто: D1 внутри D2, D3 внутри D4"
119;SW_1001;27216;27,216;21380 + 120 + 75 + 1380 + 606 + 429 + 429 + 2722 + 75 = 27216 мм;ok;"локальная модель, без API; авто: D3 вернул участок; авто: D3 внутри D5; авто: D4 внутри D5, D8 внутри D9, D13 внутри D14, D5 вернул полный участок, D5 габарит рядом с D3; авто: D5 вернул полный участок, D5 габарит рядом с D3; авто: D5 вернул полный участок, D5 габарит рядом с D3; ручной визуальный аудит; авто: D1 внутри D5, D2 внутри D5, D5 вернул полный участок"
120;SW_1001;15439;15,439;2688 + 6225 + 645 + 3006 + 2875 = 15439 мм;ok;"локальная модель, без API; авто: D3 внутри D4; ручной визуальный аудит; авто: D6 внутри D7, D3 вернул участок"
121;SW_1001;1600;1,600;75 + 228 + 250 + 234 + 164 + 165 + 234 + 250 = 1600 мм;ok;"локальная модель, без API; ручной визуальный аудит"
122;UNKNOWN_122;2772;2,772;250 + 214 + 214 + 504 + 378 + 81 + 171 + 81 + 154 + 190 + 380 + 155 = 2772 мм;ok;"локальная модель, без API; ручной визуальный аудит"
123;SW_1003;4244;4,244;274 + 203 + 181 + 134 + 970 + 181 + 134 + 203 + 274 + 533 + 225 + 275 + 120 + 233 + 304 = 4244 мм;ok;"локальная модель, без API; авто: D11 внутри D12; ручной визуальный аудит"
124;SW_1003;20830;20,830;239 + 181 + 134 + 641 + 2870 + 5570 + 998 + 400 + 800 + 223 + 244 + 164 + 134 + 198 + 224 + 196 + 244 + 2550 + 4200 + 500 + 120 = 20830 мм;ok;"локальная модель, без API; авто: D6 вернул участок, D18 вернул длину; авто: D19 внутри D5, D20 внутри D6; ручной визуальный аудит; авто: D19 вернул участок, D20 вернул участок"
125;SW_1003;50980;50,980;380 + 6000 + 6000 + 12980 + 19100 + 450 + 1600 + 3800 + 550 + 120 = 50980 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D4 полный участок, D9 полный участок, D5 внутри D9, D7 внутри D9, D8 внутри D9"
126;SW_1003;19272;19,272;1180 + 3380 + 550 + 1300 + 1006 + 2882 + 3150 + 225 + 800 + 4799 = 19272 мм;ok;"локальная модель, без API; авто: D4 внутри D5; ручной визуальный аудит"
127;SW_1004;11207;11,207;217 + 133 + 274 + 206 + 304 + 173 + 356 + 470 + 940 + 1009 + 1450 + 1325 + 2350 + 1800 + 120 + 80 = 11207 мм;ok;"локальная модель, без API; авто: D16 внутри D3; ручной визуальный аудит; авто: D16 вернул участок"
128;SW_1004;11289;11,289;2546 + 180 + 38 + 225 + 280 + 600 + 1000 + 4400 + 1000 + 320 + 520 + 180 = 11289 мм;ok;"локальная модель, без API; авто: D10 вернул участок; ручной визуальный аудит"
129;SW_1009;860;0,860;195 + 123 + 244 + 123 + 175 = 860 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину, D4 вернул длину; ручной визуальный аудит"
130;SW_1010;3065;3,065;469 + 244 + 220 + 188 + 134 + 550 + 327 + 244 + 469 + 220 = 3065 мм;ok;"локальная модель, без API; авто: D1 штурвал; авто: D9 внутри D13; ручной визуальный аудит; авто: D6 габарит пара, D9 вернул участок"
131;SW_1010;3664;3,664;135 + 134 + 137 + 41 + 810 + 28 + 615 + 529 + 324 + 752 + 159 = 3664 мм;ok;"локальная модель, без API; авто: D12 вернул длину; ручной визуальный аудит"
132;SW_1011;1984;1,984;30 + 21 + 21 + 469 + 244 + 327 + 188 + 134 + 550 = 1984 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D3 вернул длину; ручной визуальный аудит"
133;SW_1011;4475;4,475;2450 + 327 + 244 + 469 + 30 + 21 + 21 + 220 + 135 + 134 + 228 + 146 + 50 = 4475 мм;ok;"локальная модель, без API; авто: D6 вернул длину; ручной визуальный аудит"
134;SW_1012;5460;5,460;154 + 341 + 220 + 188 + 134 + 550 + 2450 + 341 + 244 + 149 + 220 + 135 + 134 + 200 = 5460 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D5 вернул длину; авто: D5 габарит LT"
135;SW_1013;15071;15,071;120 + 80 + 2046 + 10300 + 2075 + 450 = 15071 мм;ok;"локальная модель, без API; авто: D8 вернул участок; ручной визуальный аудит; авто: D5 внутри D8, D6 внутри D8, D7 внутри D8"
136;SW_1013;8277;8,277;150 + 1788 + 1841 + 1200 + 1159 + 939 + 1200 = 8277 мм;ok;"локальная модель, без API; авто: D4 внутри D5; ручной визуальный аудит; авто: D8 полный участок"
137;SW_1014;2455;2,455;130 + 225 + 650 + 884 + 221 + 50 + 295 = 2455 мм;ok;"локальная модель, без API; ручной визуальный аудит"
138;SW_1014;2793;2,793;802 + 229 + 176 + 178 + 330 + 222 + 159 + 150 + 203 + 344 = 2793 мм;ok;"локальная модель, без API; авто: D7 штурвал; авто: D4 внутри D5; ручной визуальный аудит"
139;SW_1015;2455;2,455;130 + 225 + 650 + 884 + 221 + 50 + 295 = 2455 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D6 габарит пара"
140;SW_1015;3490;3,490;372 + 802 + 233 + 244 + 159 + 178 + 244 + 330 + 222 + 159 + 203 + 344 = 3490 мм;ok;"локальная модель, без API; авто: D14 внутри D15; ручной визуальный аудит"
141;SW_1019;7171;7,171;128 + 244 + 206 + 224 + 128 + 322 + 860 + 1000 + 1454 + 430 + 2175 = 7171 мм;ok;"локальная модель, без API; авто: D11 внутри D12; ручной визуальный аудит; авто: D7 габарит пара, D11 вернул участок"
142;SW_1019;8505;8,505;75 + 2900 + 525 + 300 + 3780 + 300 + 475 + 150 = 8505 мм;ok;"локальная модель, без API; авто: D9 внутри D10; ручной визуальный аудит; авто: D2 внутри D3"
143;SW_1020;13127;13,127;153 + 244 + 178 + 168 + 146 + 178 + 224 + 548 + 1948 + 3750 + 4290 + 1300 = 13127 мм;ok;"локальная модель, без API; авто: D1 вернул длину, D2 вернул длину; авто: D9 внутри D10; ручной визуальный аудит; авто: D14 габарит пара"
144;SW_1020;19912;19,912;75 + 5400 + 1860 + 300 + 1650 + 5100 + 600 + 1559 + 3368 = 19912 мм;ok;"локальная модель, без API; авто: D6 вернул участок; авто: D7 внутри D8; ручной визуальный аудит"
145;SW_1020;10729;10,729;75 + 330 + 659 + 2129 + 600 + 2240 + 2411 + 452 + 960 + 316 + 557 = 10729 мм;ok;"локальная модель, без API; ручной визуальный аудит"
146;SW_1021;1819;1,819;78 + 81 + 198 + 205 + 82 + 171 + 81 + 78 + 845 = 1819 мм;ok;"локальная модель, без API; ручной визуальный аудит"
147;SW_1022;10858;10,858;695 + 700 + 1975 + 4100 + 888 + 300 + 2200 = 10858 мм;ok;"локальная модель, без API; авто: D2 внутри D3; ручной визуальный аудит; авто: D4 габарит пара, D2 вернул участок"
148;SW_1022;11851;11,851;140 + 154 + 178 + 880 + 1603 + 3399 + 585 + 1300 + 988 + 2624 = 11851 мм;ok;"локальная модель, без API; ручной визуальный аудит"
149;P21_1017;6641;6,641;144 + 182 + 183 + 190 + 226 + 455 + 188 + 182 + 223 + 825 + 254 + 1343 + 2043 + 185 + 18 = 6641 мм;ok;"локальная модель, без API; авто: D14 внутри D17, D12 вернул участок, D21 вернул длину; авто: D14 вернул участок; ручной визуальный аудит; авто: D13 габарит пара, D14 внутри участка, D14 вернул участок; авто: D14 внутри участка, D14 вернул участок"
150;P21_1017;15882;15,882;18 + 2803 + 1982 + 1982 + 166 + 3368 + 1900 + 1350 + 2275 + 38 = 15882 мм;ok;"локальная модель, без API; авто: D1 вернул длину; авто: D2 внутри D3, D7 внутри D8, D10 внутри D11; ручной визуальный аудит; авто: D12 габарит пара, D10 вернул участок"
151;P21_1017;21219;21,219;3492 + 2503 + 2947 + 90 + 5510 + 1638 + 1463 + 200 + 90 + 1065 + 2221 = 21219 мм;ok;"локальная модель, без API; авто: D7 внутри D8; ручной визуальный аудит; авто: D11 внутри D14, D6 габарит рядом с D3"
152;P21_1017;24129;24,129;38 + 1475 + 463 + 7650 + 1550 + 90 + 12825 + 38 = 24129 мм;ok;"локальная модель, без API; авто: D8 вернул участок; авто: D15 вернул участок; авто: D4 внутри D8; авто: D3 внутри D4, D5 внутри D8, D6 внутри D8, D10 внутри D11, D12 внутри D11, D4 вернул полный участок; ручной визуальный аудит; авто: D4 внутри D8, D7 внутри D15, D11 внутри D15, D14 внутри D15, D3 вернул участок"
153;P21_1017;31623;31,623;1462 + 2487 + 375 + 3825 + 375 + 1300 + 4400 + 4940 + 12459 = 31623 мм;ok;"локальная модель, без API; авто: D11 вернул участок, D13 вернул участок; авто: D4 внутри D5, D7 внутри D8, D10 внутри D11, D12 внутри D11; ручной визуальный аудит; авто: D9 внутри D13, D10 вернул полный участок"
154;P21_1017;14190;14,190;38 + 1388 + 229 + 10025 + 560 + 1950 = 14190 мм;ok;"локальная модель, без API; авто: D2 внутри D3, D5 внутри D6, D9 внутри D10, D10 вернул полный участок, D10 габарит рядом с D8; авто: D10 вернул полный участок, D10 габарит рядом с D8; авто: D10 вернул полный участок, D10 габарит рядом с D8; ручной визуальный аудит; авто: D6 внутри D10, D7 внутри D10, D8 внутри D10"
155;SW_1018;13631;13,631;153 + 244 + 1100 + 244 + 353 + 198 + 224 + 350 + 200 + 3016 + 2083 + 2450 + 3016 = 13631 мм;ok;"локальная модель, без API; ручной визуальный аудит; авто: D14 внутри D15"
156;CO_0116;12450;12,450;2315 + 950 + 2600 + 1400 + 2200 + 710 + 201 + 386 + 394 + 361 + 247 + 134 + 158 + 394 = 12450 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D7 вернул длину, D9 вернул длину; авто: D12 габарит пара; авто: D3 внутри D6, D11 внутри D7; ручной визуальный аудит; авто: D12 габарит пара, D11 вернул участок"
157;CO_0116;26146;26,146;361 + 300 + 1141 + 740 + 394 + 710 + 2200 + 1400 + 2600 + 950 + 14000 + 1350 = 26146 мм;ok;"локальная модель, без API; авто: D14 вернул участок, D3 вернул длину, D6 вернул длину; авто: D15 внутри D13; ручной визуальный аудит; авто: D9 внутри D10, D12 внутри D14, D13 внутри D14, D15 вернул участок"
158;CO_0116;36784;36,784;1860 + 8840 + 2142 + 1450 + 2142 + 1450 + 14250 + 4650 = 36784 мм;ok;"локальная модель, без API; авто: D3 габарит Н.О., D11 вернул участок, D12 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D13 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D7 внутри D11, D10 внутри D12, D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; авто: D3 габарит Н.О., D2 вернул участок, D4 вернул участок, D3 полный размер, D2 опора в D3, D4 опора в D3; ручной визуальный аудит; авто: D3 габарит Н.О., D5 габарит пара, D8 габарит пара, D2 внутри D3, D11 внутри D13, D12 внутри D13, D7 вернул участок, D10 вернул участок, D3 полный размер, D4 опора в D3; авто: D3 габарит Н.О., D4 вернул участок, D3 полный размер, D4 опора в D3"
159;CO_0116;24820;24,820;550 + 7100 + 7000 + 950 + 4700 + 2952 + 400 + 248 + 159 + 400 + 361 = 24820 мм;ok;"локальная модель, без API; авто: D2 вернул длину, D4 вернул длину, D5 вернул длину, D13 вернул длину; авто: D2 внутри D3, D4 внутри D5; ручной визуальный аудит; авто: D14 габарит пара"
160;CO_0117;41484;41,484;3000 + 17450 + 1900 + 9150 + 4300 + 2142 + 1100 + 2142 + 300 = 41484 мм;ok;"локальная модель, без API; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D13 габарит пара, D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D9 внутри D7, D7 вернул полный участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул полный участок, D8 полный размер, D7 опора в D8; авто: D8 габарит Н.О., D7 вернул полный участок, D8 полный размер, D7 опора в D8; ручной визуальный аудит; авто: D8 габарит Н.О., D13 габарит пара, D2 внутри D4, D3 внутри D4, D5 внутри D4, D8 полный размер; авто: D8 габарит Н.О., D8 полный размер"
161;CO_0117;40386;40,386;14160 + 4640 + 700 + 7100 + 6350 + 950 + 4350 + 2136 = 40386 мм;ok;"локальная модель, без API; авто: D6 вернул длину, D7 вернул длину, D9 вернул длину, D10 вернул длину, D14 вернул длину; авто: D1 внутри D2, D9 внутри D10, D12 внутри D13; ручной визуальный аудит; авто: D2 внутри D4, D3 внутри D4, D7 внутри D10"
162;CW_1001;3861;3,861;958 + 1421 + 274 + 50 + 250 + 140 + 318 + 450 = 3861 мм;ok;"локальная модель, без API; авто: D1 вернул длину, D6 вернул длину, D8 вернул длину, D9 вернул длину; ручной визуальный аудит; авто: D4 габарит пара, D7 толщина изоляции"
163;CWRI_1001;10696;10,696;375 + 2928 + 140 + 575 + 3500 + 150 + 446 + 2392 + 140 + 50 = 10696 мм;ok;"локальная модель, без API; авто: D10 штурвал; ручной визуальный аудит"
164;CWRI_1001;4361;4,361;250 + 306 + 1403 + 575 + 500 + 274 + 140 + 183 + 730 = 4361 мм;ok;"локальная модель, без API; авто: D7 вернул длину, D9 вернул длину, D10 вернул длину; ручной визуальный аудит"
165;SW_1018;37990;37,990;2288 + 657 + 1400 + 3912 + 1200 + 3950 + 800 + 6000 + 1615 + 7150 + 260 + 1799 + 2334 + 4625 = 37990 мм;ok;"локальная модель, без API; авто: D4 внутри D1, D6 внутри D7, D13 внутри D14, D16 внутри D17; ручной визуальный аудит; авто: D11 габарит пара, D16 вернул участок"
166;SW_1018;20101;20,101;75 + 1416 + 2700 + 2419 + 4280 + 1402 + 700 + 255 + 498 + 178 + 168 + 146 + 3484 + 301 + 2079 = 20101 мм;ok;"локальная модель, без API; авто: D17 вернул участок; авто: D15 внутри D17, D19 внутри D6, D9 вернул полный участок; ручной визуальный аудит; авто: D4 внутри D6, D9 внутри участка, D9 вернул участок; авто: D9 внутри участка, D9 вернул участок"
167;SW_1018;13633;13,633;75 + 965 + 600 + 3000 + 4975 + 1300 + 498 + 244 + 206 + 224 + 253 + 453 + 171 + 178 + 224 + 250 + 17 = 13633 мм;ok;"локальная модель, без API; авто: D3 вернул участок, D5 вернул участок, D19 вернул длину; авто: D7 внутри D8; ручной визуальный аудит"
168;SW_1018;12761;12,761;50 + 1300 + 498 + 244 + 206 + 224 + 453 + 171 + 146 + 178 + 224 + 2425 + 1300 + 1750 + 1300 + 2275 + 17 = 12761 мм;ok;"локальная модель, без API; авто: D11 внутри D19, D23 вернул длину, D11 два прогона с D10; авто: D3 внутри D4, D8 внутри D9, D12 внутри D9, D14 внутри D15, D16 внутри D17; ручной визуальный аудит; авто: D19 габарит пара, D12 вернул участок"
169;SW_1018;7247;7,247;50 + 1300 + 498 + 244 + 206 + 224 + 253 + 453 + 171 + 178 + 224 + 300 + 1300 + 498 + 244 + 206 + 453 + 171 + 224 + 50 = 7247 мм;ok;"локальная модель, без API; авто: D4 внутри D2, D25 внутри D22; авто: D3 внутри D15, D6 внутри D9, D7 внутри D8, D16 внутри D4, D21 внутри D22, D4 вернул полный участок; ручной визуальный аудит; авто: D20 габарит пара, D4 внутри участка, D4 вернул полный участок, D6 вернул участок, D7 вернул участок; авто: D4 внутри участка, D4 вернул полный участок"
170;SW_1018;14014;14,014;3400 + 6450 + 1300 + 498 + 244 + 206 + 224 + 253 + 453 + 171 + 146 + 178 + 224 + 250 + 17 = 14014 мм;ok;"локальная модель, без API; авто: D1 внутри D2, D3 вернул участок, D17 вернул длину; авто: D5 внутри D6, D6 вернул полный участок; ручной визуальный аудит; авто: D6 внутри участка, D6 вернул полный участок; авто: D6 внутри участка, D6 вернул полный участок"
171;SW_1018;8138;8,138;50 + 1300 + 275 + 498 + 244 + 206 + 224 + 453 + 171 + 146 + 178 + 224 + 1150 + 3000 + 19 = 8138 мм;ok;"локальная модель, без API; авто: D14 габарит Н.О., D5 внутри D4, D18 вернул длину, D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D8 внутри D9, D12 внутри D9, D5 вернул участок, D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; авто: D14 габарит Н.О., D14 полный размер; ручной визуальный аудит; авто: D14 габарит Н.О., D16 габарит пара, D5 внутри участка, D5 вернул участок, D12 вернул участок, D14 полный размер; авто: D14 габарит Н.О., D5 внутри участка, D5 вернул участок, D14 полный размер"
172;SW_1018;7737;7,737;50 + 1300 + 498 + 244 + 206 + 224 + 215 + 453 + 171 + 178 + 224 + 575 + 1300 + 498 + 244 + 206 + 253 + 453 + 171 + 224 + 50 = 7737 мм;ok;"локальная модель, без API; авто: D4 внутри D2, D25 внутри D22, D8 вернул участок; авто: D3 внутри D15, D6 внутри D4, D8 внутри D5, D16 внутри D4, D21 внутри D22, D4 вернул полный участок; ручной визуальный аудит; авто: D20 габарит пара, D4 внутри участка, D4 вернул полный участок, D6 вернул участок, D8 вернул участок, D21 вернул полный участок; авто: D4 внутри участка, D4 вернул полный участок"
173;SW_1018;13196;13,196;300 + 2475 + 1375 + 1350 + 401 + 1375 + 2404 + 1300 + 498 + 244 + 206 + 253 + 453 + 171 + 146 + 178 + 50 + 17 = 13196 мм;ok;"локальная модель, без API; авто: D15 штурвал, D1 вернул участок, D23 вернул длину; авто: D7 габарит пара; авто: D3 внутри D4, D8 внутри D9, D11 внутри D12, D14 внутри D17, D12 вернул полный участок; ручной визуальный аудит; авто: D12 внутри участка, D12 вернул полный участок, D14 вернул участок; авто: D12 внутри участка, D12 вернул полный участок"
174;SW_1018;14288;14,288;250 + 1300 + 498 + 244 + 206 + 224 + 453 + 171 + 146 + 178 + 224 + 972 + 3000 + 6422 = 14288 мм;ok;"локальная модель, без API; авто: D5 внутри D4, D3 вернул участок; авто: D1 внутри D14, D3 внутри D4, D8 внутри D9, D12 внутри D9, D5 вернул участок; ручной визуальный аудит; авто: D5 внутри участка, D1 вернул участок, D5 вернул участок, D12 вернул участок; авто: D5 внутри участка, D5 вернул участок"
175;SW_1018;7052;7,052;50 + 1300 + 498 + 244 + 206 + 253 + 453 + 171 + 178 + 300 + 1300 + 498 + 244 + 206 + 253 + 453 + 171 + 224 + 50 = 7052 мм;ok;"локальная модель, без API; авто: D4 внутри D2, D25 внутри D22; авто: D3 внутри D15, D6 внутри D9, D7 внутри D8, D13 внутри D8, D16 внутри D4, D21 внутри D22, D4 вернул полный участок; ручной визуальный аудит; авто: D20 габарит пара, D4 внутри участка, D4 вернул полный участок, D6 вернул участок, D21 вернул полный участок; авто: D4 внутри участка, D4 вернул полный участок"
176;SW_1018;13169;13,169;250 + 2350 + 1300 + 1350 + 1300 + 2750 + 1300 + 275 + 498 + 244 + 206 + 253 + 453 + 171 + 178 + 224 + 50 + 17 = 13169 мм;ok;"локальная модель, без API; авто: D23 вернул длину; авто: D3 внутри D4, D6 внутри D4, D12 внутри D9, D15 внутри D16, D19 внутри D20; ручной визуальный аудит; авто: D8 внутри D9, D12 вернул участок"
177;SW_1018;16144;16,144;250 + 1300 + 535 + 244 + 206 + 224 + 453 + 171 + 146 + 178 + 224 + 563 + 3000 + 2200 + 6450 = 16144 мм;ok;"локальная модель, без API; авто: D5 внутри D4, D17 вернул участок; авто: D1 внутри D14, D3 внутри D4, D8 внутри D9, D12 внутри D9, D16 внутри D15, D5 вернул участок; ручной визуальный аудит; авто: D5 внутри участка, D1 вернул участок, D5 вернул участок, D12 вернул участок, D16 вернул участок; авто: D5 внутри участка, D5 вернул участок"
178;SW_1018;7791;7,791;50 + 1300 + 289 + 498 + 244 + 206 + 224 + 253 + 453 + 171 + 178 + 224 + 300 + 1300 + 275 + 528 + 244 + 206 + 453 + 171 + 224 = 7791 мм;ok;"локальная модель, без API; авто: D4 внутри D15; авто: D6 внутри D9, D7 внутри D8, D21 внутри D22, D4 вернул участок; ручной визуальный аудит; авто: D20 габарит пара, D4 внутри участка, D4 вернул участок, D6 вернул участок, D7 вернул участок; авто: D4 внутри участка, D4 вернул участок"
179;CO_0102;13860;13,860;1500 + 950 + 450 + 750 + 1106 + 254 + 5400 + 665 + 2705 + 80 = 13860 мм;ok;"локальная модель, без API; авто: D8 вернул участок; авто: D4 внутри D5, D9 внутри D10; ручной визуальный аудит"
180;CO_0102;7147;7,147;2124 + 3160 + 75 + 218 + 45 + 400 + 950 + 175 = 7147 мм;ok;"локальная модель, без API; авто: D7 вернул длину, D8 вернул длину, D9 вернул длину, D10 вернул длину; авто: D9 внутри D10; ручной визуальный аудит; авто: D2 габарит пара, D3 внутри D4"
181;CO_0102;8050;8,050;3770 + 1263 + 689 + 45 + 198 + 244 + 123 + 141 + 164 + 134 + 164 + 266 + 150 + 75 + 237 + 387 = 8050 мм;ok;"локальная модель, без API; авто: D16 внутри D2; ручной визуальный аудит; авто: D16 вернул участок"
182;CO_0103;10062;10,062;1500 + 1150 + 2900 + 400 + 2433 + 1091 + 314 + 274 = 10062 мм;ok;"локальная модель, без API; авто: D6 вернул длину; авто: D3 внутри D4; ручной визуальный аудит"
183;CO_0103;5670;5,670;173 + 275 + 181 + 178 + 274 + 219 + 761 + 235 + 274 + 2039 + 120 + 154 + 181 + 606 = 5670 мм;ok;"локальная модель, без API; авто: D5 штурвал, D2 вернул участок, D8 вернул участок, D13 вернул длину, D14 вернул длину; авто: D8 внутри D7; ручной визуальный аудит; авто: D3 габарит пара, D9 габарит пара, D8 вернул участок"
184;CO_0103;12498;12,498;390 + 7800 + 897 + 45 + 490 + 498 + 653 + 1725 = 12498 мм;ok;"локальная модель, без API; авто: D4 внутри D5, D11 внутри D6; ручной визуальный аудит; авто: D7 габарит пара, D11 вернул участок"
